id;nombre;fechacreacion;olat;olong
3;RETIRO;2010-11-04 13:46:00;-34.5923;-58.375
5;ADUANA;2010-11-04 13:46:00;-34.6114;-58.3691
6;DERECHO;2010-11-20 12:17:00;-34.5837;-58.3912
7;PLAZA ROMA;2010-12-13 21:05:00;-34.6016;-58.3694
8;PLAZA ITALIA;2011-01-03 19:18:00;-34.5802;-58.4207
9;PARQUE LEZAMA;2011-01-03 19:20:00;-34.628;-58.3699
10;OBELISCO;2011-01-11 23:41:00;-34.6063;-58.3811
15;CONGRESO;2011-01-27 14:59:00;-34.6098;-58.3893
16;PARQUE LAS HERAS;2011-02-10 15:05:00;-34.585;-58.4076
17;UCA PUERTO MADERO;2011-02-25 18:36:00;-34.616;-58.3657
18;TRIBUNALES;2011-03-28 13:22:00;-34.6013;-58.385
19;PLAZA VICENTE LOPEZ;2011-04-27 12:54:00;-34.5934;-58.3897
20;ONCE;2011-05-21 00:37:00;-34.6095;-58.4076
21;PACIFICO;2011-06-06 16:45:00;-34.5775;-58.4262
22;VIRREY CEVALLOS;2011-06-15 16:24:00;-34.6228;-58.3889
23;PLAZA HOUSSAY;2011-06-29 16:26:00;-34.599;-58.3982
24;PLAZA DE MAYO;2011-08-03 12:29:00;-34.6099;-58.3747
25;PLAZA ALMAGRO;2011-08-30 12:48:00;-34.6059;-58.4195
26;CMD;2011-09-06 11:10:00;-34.6543;-58.3804
27;INDEPENDENCIA;2011-09-16 12:52:00;-34.6179;-58.3805
28;PLAZA SAN MARTIN;2011-09-16 12:54:00;-34.595;-58.3783
30;DISTRITO AUDIOVISUAL;2012-06-12 15:03:00;-34.5804;-58.4424
32;PARQUE PATRICIOS ;2012-09-28 12:38:00;-34.6381;-58.4103
33;ARENALES;2012-10-23 17:34:00;-34.5941;-58.3826
34;SUIPACHA;2012-11-05 13:51:00;-34.6002;-58.3792
35;ALSINA ;2012-11-12 13:58:00;-34.6106;-58.3809
36;EMMA DE LA BARRA;2012-11-23 12:30:00;-34.6005;-58.3637
37;PLAZA GÃœEMES;2012-11-27 10:53:00;-34.5896;-58.4164
38;MONTEVIDEO;2013-06-24 11:32:00;-34.5995;-58.3897
39;PLAZA BOEDO;2013-07-29 08:51:00;-34.623;-58.4123
41;PARQUE CENTENARIO;2013-09-02 14:39:00;-34.608;-58.4345
